ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
8.8.8.8,google-public-dns-a.google.com.,US,Mountain View,,,true,1.00,2017-04-28T15:31:19Z,2009-12-04T10:01:47Z
204.152.184.76,or.isc.org.,US,Redwood City,9.10.4-P1,,true,1.00,2017-04-28T15:31:20Z,2009-05-13T01:05:06Z
205.171.3.65,resolver1.qwest.net.,US,,,,false,1.00,2017-04-28T15:31:21Z,2009-05-13T09:28:10Z
216.106.184.6,ns2.ststelecom.com.,US,Jupiter,none,,false,1.00,2017-04-28T15:31:21Z,2009-05-15T12:49:23Z
66.203.66.203,ns.axsne.net.,US,Lexington,,,false,1.00,2017-04-28T15:31:24Z,2009-05-15T12:53:05Z
209.143.22.182,bacchus.bright.net.,US,Minford,9.9.6-P1,,false,0.50,2017-04-28T15:31:22Z,2009-05-15T12:53:13Z
216.52.254.1,ns1.lax.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:26Z,2009-05-15T12:53:27Z
69.54.70.15,slimer.isphone.net.,US,Traverse City,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.7,,true,1.00,2017-04-28T15:31:22Z,2009-05-15T12:53:29Z
64.94.1.1,ns1.acs.pnap.net.,US,Atlanta,,,false,1.00,2017-04-28T15:31:20Z,2009-05-15T12:53:32Z
63.251.161.1,ns1.sef.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:21Z,2009-05-15T12:53:33Z
69.60.160.203,edelta2.DADNS.america.net.,US,Alpharetta,9.10.2-P3,,false,1.00,2017-04-28T15:31:20Z,2009-05-15T12:53:43Z
208.78.24.238,dns1.nyc.dns-roots.net.,US,The Bronx,DNSROOTS,,false,1.00,2017-04-28T15:31:22Z,2009-05-15T12:54:08Z
216.93.191.228,cache01.ns.witopia.net.,US,Jersey City,9.10.2-P3,,false,1.00,2017-04-28T15:31:21Z,2009-05-15T12:54:11Z
8.5.244.5,dns01.sjc01.acndigital.net.,US,,9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6,,false,1.00,2017-04-28T15:31:21Z,2009-05-15T12:54:12Z
216.52.254.33,ns2.lax.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:21Z,2009-05-15T12:54:22Z
206.253.194.97,ns2.pnap.net.,US,New York,,,false,1.00,2017-04-28T15:31:29Z,2009-05-15T12:54:29Z
129.7.1.1,ns1.uh.edu.,US,Houston,,,false,1.00,2017-04-28T15:31:22Z,2009-05-15T12:54:34Z
64.94.33.33,ns2.chg.pnap.net.,US,Chicago,,,false,1.00,2017-04-28T15:31:20Z,2009-05-15T12:54:53Z
64.94.33.1,ns1.chg.pnap.net.,US,Chicago,,,false,1.00,2017-04-28T15:31:22Z,2009-05-15T12:55:44Z
4.2.2.1,a.resolvers.level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:01Z
4.2.2.2,b.resolvers.Level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:01Z
4.2.2.3,c.resolvers.level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:21Z,2009-05-17T23:33:01Z
4.2.2.4,d.resolvers.level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:01Z
4.2.2.5,e.resolvers.level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:02Z
4.2.2.6,f.resolvers.level3.net.,US,,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:22Z,2009-05-17T23:33:02Z
199.2.252.10,ns2.sprintlink.net.,US,Herndon,,,true,1.00,2017-04-28T15:31:21Z,2009-05-17T23:33:05Z
204.97.212.10,ns3.sprintlink.net.,US,,,,true,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:05Z
204.117.214.10,ns1.sprintlink.net.,US,,,,true,1.00,2017-04-28T15:31:20Z,2009-05-17T23:33:05Z
206.124.64.1,bigguy.gte.net.,US,,,,false,1.00,2017-04-28T15:31:21Z,2009-05-17T23:59:06Z
216.237.221.42,dns3.nstel.com.,US,High Point,TGIF,,false,1.00,2017-04-28T15:31:23Z,2009-08-07T21:17:34Z
209.191.129.1,ns1.nyc.pnap.net.,US,Seattle,,,false,1.00,2017-04-28T15:31:23Z,2009-08-07T21:17:40Z
216.185.192.1,ns1.bhi.com.,US,Eden Prairie,,,false,1.00,2017-04-28T15:31:22Z,2009-08-07T21:17:44Z
64.212.106.84,dns1.jfk.gblx.net.,US,New York,Version: recursive-main/18640994,,false,1.00,2017-04-28T15:31:24Z,2009-08-07T21:18:14Z
216.52.65.33,ns2.phi.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:22Z,2009-08-07T21:18:15Z
63.251.62.1,ns1.sfo.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:22Z,2009-08-07T21:18:38Z
63.251.129.1,ns1.bsn.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:23Z,2009-08-07T22:49:14Z
216.52.129.1,ns1.chi.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:23Z,2009-08-07T22:49:28Z
63.251.161.33,ns2.sef.pnap.net.,US,,,,false,1.00,2017-04-28T15:31:23Z,2009-08-07T22:49:34Z
